lop	tiet	GV1001	GV1002	GV1003	GV1004	GV1005	GV1006	GV1007	GV1008	GV1009	GV1010	GV1011	GV1012	GV1013	GV1015	GV1016	GV1017	GV1018	GV1019	GV1020	GV1021	GV1022	GV1023	GV1024	GV1025	GV1026	GV1027	GV1028	GV1029	GV1030	GV1031	GV1032	GV1033	GV1034	GV1035	GV1036	GV1037	GV1038	GV1039	GV1040	GV1041	GV1042	GV1043	GV1044	GV1045	GV1046	GV1047	GV1048	GV1049	GV1051	GV1052	GV1053	GV1056	GV1057	GV1058	GV1059	GV1060	GV1061	GV1062	GV1063	GV1064	GV1065	GV1066	GV1067	GV1068	GV1069	GV1070	GV1071	GV1073	GV1074	GV1075	GVNN01	GVNN02	GVNN03
6	1	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Van - 12B	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Ly - 11Q	CN - 12A	 - 	CN - 12H	 - 	Ly - 11M	Ly - 11H	Hoa - 10N	Hoa - 12E	Hoa - 11T	Hoa - 11B	Hoa - 12N	 - 	 - 	CN - 10K	 - 	 - 	 - 	Su - 12C	Su - 11D	Su - 10E	Dia - 11C	 - 	Dia - 11P	GDCD - 10G	GDCD - 11A	GDCD - 10A	TD - 10D	TD - 12K	TD - 12D	TD - 12G	QP - 11G	QP - 10M	 - 	Tin - 10C	Tin - 11N	Tin - 12M	CN - 11K	 - 	 - 	AVNN - 10H	AVNN - 10B	AVNN - 11E	
6	2	Toan - 12C	 - 	Toan - 10A	 - 	Toan - 12H	 - 	Toan - 12B	Toan - 11A	 - 	Toan - 11E	 - 	 - 	 - 	 - 	 - 	 - 	Van - 12E	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Ly - 10M	Ly - 10N	 - 	 - 	Ly - 10G	Ly - 12N	Ly - 11C	 - 	 - 	Hoa - 11M	 - 	 - 	 - 	 - 	CN - 10C	 - 	 - 	 - 	Su - 10K	Su - 11B	Su - 11Q	Dia - 12M	Dia - 12A	Dia - 11G	 - 	GDCD - 11T	GDCD - 11D	TD - 10D	TD - 12K	TD - 12D	TD - 12G	QP - 11N	 - 	 - 	Tin - 10E	Tin - 11K	 - 	CN - 11H	 - 	Tin - 10H	 - 	AVNN - 10B	AVNN - 11P	
6	3	Toan - 12C	 - 	Toan - 12K	 - 	 - 	 - 	Toan - 12E	 - 	 - 	Toan - 11H	Van - 10G	 - 	Van - 11Q	Van - 11B	Van - 11T	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Ly - 10M	Ly - 12G	 - 	Ly - 11D	 - 	 - 	Ly - 11C	Hoa - 12A	 - 	 - 	Hoa - 11G	 - 	 - 	 - 	CN - 10D	 - 	 - 	 - 	Su - 12D	Su - 11A	Su - 10N	 - 	Dia - 10K	Dia - 11E	GDCD - 10H	GDCD - 11M	GDCD - 10B	 - 	TD - 12M	TD - 12B	TD - 12H	 - 	QP - 10C	 - 	Tin - 10E	Tin - 11K	Tin - 12N	CN - 11P	 - 	 - 	AVNN - 10A	AVNN - 11N	 - 	
6	4	 - 	 - 	 - 	Toan - 11B	Toan - 12D	 - 	 - 	Toan - 10B	 - 	Toan - 10H	 - 	Van - 12N	Van - 11A	Van - 10A	Van - 11K	 - 	 - 	Van - 10N	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	CN - 12E	 - 	 - 	Ly - 11D	Ly - 11T	CN - 12C	 - 	Hoa - 12A	Hoa - 11C	Hoa - 11H	Hoa - 11G	 - 	 - 	 - 	CN - 10D	 - 	 - 	 - 	 - 	 - 	 - 	Dia - 12K	Dia - 10E	 - 	GDCD - 10K	GDCD - 12G	GDCD - 11E	 - 	TD - 12M	TD - 12B	TD - 12H	QP - 11Q	 - 	 - 	 - 	 - 	Tin - 10M	CN - 11P	 - 	Tin - 10G	AVNN - 11M	AVNN - 11N	AVNN - 10C	
6	5	 - 	 - 	 - 	Toan - 12M	 - 	 - 	Toan - 11Q	 - 	 - 	 - 	 - 	Van - 10E	Van - 11A	Van - 11E	 - 	 - 	 - 	Van - 12H	 - 	Van - 11G	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Ly - 10H	CN - 12G	 - 	Ly - 11P	Ly - 11T	 - 	 - 	Hoa - 12D	Hoa - 11N	Hoa - 11H	Hoa - 12C	 - 	 - 	 - 	CN - 10B	 - 	 - 	 - 	Su - 10D	 - 	Su - 10C	 - 	Dia - 12E	Dia - 10N	GDCD - 12A	GDCD - 11K	 - 	 - 	 - 	 - 	 - 	QP - 11D	 - 	Tin - 12B	 - 	 - 	 - 	CN - 11C	 - 	Tin - 10G	AVNN - 11M	AVNN - 10K	AVNN - 10M	
7	1	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Toan - 11M	 - 	 - 	 - 	 - 	 - 	 - 	Van - 11H	 - 	 - 	Van - 10H	 - 	 - 	 - 	Anh - 10A	 - 	 - 	Anh - 11Q	 - 	 - 	Anh - 10N	 - 	Ly - 12K	Ly - 10D	 - 	 - 	 - 	Ly - 11E	 - 	 - 	Hoa - 11A	Hoa - 10K	 - 	 - 	Hoa - 11P	 - 	CN - 10B	Sinh - 11B	 - 	Sinh - 10G	 - 	 - 	Su - 10M	 - 	 - 	Dia - 11K	 - 	 - 	GDCD - 10C	 - 	TD - 11N	 - 	TD - 11G	 - 	QP - 10E	 - 	 - 	Tin - 11D	Tin - 12N	CN - 11T	 - 	 - 	AVNN - 11C	 - 	 - 	
7	2	 - 	Toan - 10K	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Van - 11D	 - 	 - 	 - 	 - 	 - 	Anh - 11E	 - 	 - 	 - 	Anh - 11B	 - 	 - 	 - 	 - 	 - 	 - 	Ly - 11M	 - 	Hoa - 10D	 - 	Hoa - 10B	 - 	Hoa - 10C	Hoa - 10G	Sinh - 11A	CN - 10H	Sinh - 11K	 - 	 - 	 - 	 - 	Su - 10A	 - 	 - 	Dia - 11H	 - 	 - 	GDCD - 11P	 - 	TD - 11N	TD - 10M	TD - 11G	 - 	QP - 10N	 - 	 - 	Tin - 11C	 - 	CN - 11T	 - 	 - 	AVNN - 11Q	AVNN - 10E	 - 	
7	3	 - 	Toan - 10K	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Van - 11C	 - 	 - 	Van - 11M	 - 	 - 	 - 	Anh - 10H	 - 	Anh - 11P	Anh - 11D	 - 	 - 	 - 	 - 	 - 	Ly - 10C	 - 	 - 	 - 	Ly - 11B	 - 	Hoa - 10A	Hoa - 11N	Hoa - 11T	 - 	Hoa - 10E	Hoa - 11K	 - 	Sinh - 10D	Sinh - 11G	 - 	Sinh - 11E	 - 	 - 	Su - 10B	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	TD - 10M	 - 	 - 	QP - 10G	 - 	 - 	Tin - 11H	Tin - 10N	CN - 11Q	 - 	 - 	 - 	AVNN - 11A	 - 	
7	4	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	CN - 10A	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	CN - 11B	 - 	 - 	 - 	 - 	 - 	
7	5	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	
